RUT,Sexo,Nombre,Fecha Nacimiento,Dirección,Correo,AFP,APV,Saldo AFP,Saldo APV,Inicio cotizaciones,Última cotización
7570976-9,M,Jordan Sears,04/09/1966,58 Fulton St.Hicksville NY 11801,JordanSears@gmail.com,Cuprum,False,20561647,0,27/01/1984,08/03/2017
6937357-K,M,Denise Owen,16/01/1966,251 Rockville Ave.Alexandria VA 22304,DeniseOwen@gmail.com,Planvital,False,16909492,0,31/08/1985,28/02/2018
6648138-K,F,Armando Sweeney,19/04/1966,813 Cross St.Solon OH 44139,ArmandoSweeney@gmail.com,Modelo,True,35600018,11358525,07/10/1984,01/09/2016
16672543-3,M,Rylee Palmer,11/04/1981,3 Brown St.Cape Coral FL 33904,RyleePalmer@gmail.com,Habitat,True,801255,17459503,19/11/2000,13/01/2020
17593439-6,M,Austin George,31/07/1991,22 Stillwater CourtHartselle AL 35640,AustinGeorge@gmail.com,Planvital,False,18423112,0,19/02/2009,14/09/2017
10489237-K,M,Abbot Rowe,06/05/1979,801 Saxon StreetLowell MA 01851,AbbotRowe@gmail.com,Cuprum,False,8523724,0,29/08/1998,20/11/2018
9188883-6,F,Cairo Grimes,18/03/1979,491 Cherry Ave.Anderson SC 29621,CairoGrimes@gmail.com,Provida,True,11906813,17493235,27/03/1999,11/03/2019
18172080-K,F,Arthur Bernard,24/01/1981,9596 South Catherine StreetTerre Haute IN 47802,ArthurBernard@gmail.com,Capital,True,14394076,12186937,29/07/1999,21/03/2020
15385450-7,F,Germaine Kennedy,25/01/1984,416 Woodside St.Hollis NY 11423,GermaineKennedy@gmail.com,Modelo,True,19365964,11474558,16/11/2002,18/10/2018
15238795-9,F,Seth Abbott,28/11/1994,42 Bradford Dr.Hamilton OH 45011,SethAbbott@gmail.com,Cuprum,False,10378936,0,13/07/2012,27/04/2020
19311385-K,M,Jerome Wagner,18/06/1990,55 Chestnut RoadNew Albany IN 47150,JeromeWagner@gmail.com,Planvital,True,11581580,10550463,10/11/2009,13/08/2020
7108787-K,M,Josiah Hull,14/11/1969,45 Westport Dr.Evans GA 30809,JosiahHull@gmail.com,Provida,True,13973256,27383816,02/08/1987,22/04/2016
16867284-K,F,Conan Booth,31/08/1984,564 Sussex CourtBonita Springs FL 34135,ConanBooth@gmail.com,Provida,True,17109495,14990179,13/11/2004,25/05/2019
13904734-K,M,Amber Kim,03/04/1994,494 Inverness LaneNew Port Richey FL 34653,AmberKim@gmail.com,Provida,False,10891006,0,26/01/2013,28/06/2016
18820277-1,F,Dante Brooks,30/10/1997,8214 Old York DriveHanover Park IL 60133,DanteBrooks@gmail.com,Capital,False,3094420,0,10/06/2015,12/09/2018
14250821-4,F,Aurelia Hansen,04/12/1989,398 Hall LanePeoria IL 61604,AureliaHansen@gmail.com,Provida,True,9683494,12763841,15/05/2008,11/08/2016
12685183-9,F,Ulric Donaldson,12/06/1980,863 Albany StreetDawsonville GA 30534,UlricDonaldson@gmail.com,Provida,True,18229639,8212559,15/02/1998,16/10/2016
7116829-K,F,Josiah George,08/06/1968,58 Walnut LaneDaphne AL 36526,JosiahGeorge@gmail.com,Provida,False,20184738,0,14/01/1988,21/02/2019
10068090-3,F,Sebastian Cabrera,06/06/1974,9445 Vermont Rd.Kenosha WI 53140,SebastianCabrera@gmail.com,Planvital,True,638851,7552183,12/01/1993,05/06/2016
7605154-1,M,Mechelle Finch,03/02/1968,6 Randall Mill AvenueNatchez MS 39120,MechelleFinch@gmail.com,Cuprum,True,25466183,21640894,21/03/1986,28/01/2017
13147714-K,F,Holly Dillon,17/11/1994,9572 Linden Ave.Vista CA 92083,HollyDillon@gmail.com,Planvital,False,13167351,0,09/08/2013,25/12/2017
6956413-8,F,Sebastian Brewer,13/04/1960,9864 Amherst StreetMyrtle Beach SC 29577,SebastianBrewer@gmail.com,Habitat,True,19556047,24808809,16/09/1979,21/07/2019
7612738-2,M,Kirk Hardin,16/01/1970,40 Kent RoadDouglasville GA 30134,KirkHardin@gmail.com,Habitat,True,11226004,11693108,01/08/1990,12/01/2016
17632240-4,F,Patience Foreman,10/08/1988,9809 Fairway Ave.Lockport NY 14094,PatienceForeman@gmail.com,Cuprum,True,8673857,3731596,10/02/2008,29/02/2020
10887413-K,M,Felicia Sharpe,20/02/1972,9854 Winchester Rd.Faribault MN 55021,FeliciaSharpe@gmail.com,Modelo,True,18952833,16930614,29/09/1991,26/06/2019
7009048-K,M,Elizabeth Bernard,01/04/1965,380 Fairground DriveGarland TX 75043,ElizabethBernard@gmail.com,Modelo,True,12991906,8348725,13/05/1983,07/12/2018
18334799-K,F,Dante Cabrera,16/10/1994,790 N. Redwood AvenueTiffin OH 44883,DanteCabrera@gmail.com,Provida,True,1504526,13935333,19/01/2014,25/02/2019
16277643-K,M,Susan Baldwin,04/07/1995,8229 Andover StreetWayne NJ 07470,SusanBaldwin@gmail.com,Habitat,True,13968218,11086685,30/04/2015,08/03/2019
9296400-K,M,Hoyt Elliott,13/07/1974,7558 South Gulf Ave.Ft Mitchell KY 41017,HoytElliott@gmail.com,Cuprum,False,10892620,0,11/09/1992,30/10/2018
7455803-9,F,Kimberly Hutchinson,05/12/1969,863 Albany StreetDawsonville GA 30534,KimberlyHutchinson@gmail.com,Planvital,True,21665320,9264245,24/06/1989,06/07/2018
11880698-K,M,Zephania Foreman,13/09/1971,89 Arnold Rd.Wellington FL 33414,ZephaniaForeman@gmail.com,Capital,True,18148037,8008526,04/09/1991,12/09/2017
17420321-0,F,Ina Frost,24/04/1992,94 Alderwood StreetLindenhurst NY 11757,InaFrost@gmail.com,Cuprum,True,10061593,5632043,24/07/2012,22/07/2016
11388290-5,M,Rhea Garcia,17/08/1971,722 Lower River St.Easton PA 18042,RheaGarcia@gmail.com,Provida,True,17525792,1674044,08/11/1991,18/04/2018
8046798-9,M,Paki Craft,11/06/1972,9 James StreetGraham NC 27253,PakiCraft@gmail.com,Provida,True,19472468,4693512,03/06/1991,12/07/2020
12100891-K,M,Connor Hull,17/03/1980,847 Marshall St.Dedham MA 02026,ConnorHull@gmail.com,Modelo,False,17085065,0,03/09/1998,07/01/2018
15173174-K,M,Josiah Hansen,08/07/1996,735 Armstrong St.Gibsonia PA 15044,JosiahHansen@gmail.com,Capital,False,5913741,0,05/08/2015,31/08/2020
9843445-2,F,Stephanie James,13/05/1972,7 Sugar DriveThe Villages FL 32162,StephanieJames@gmail.com,Cuprum,True,10296362,16045087,07/10/1991,22/04/2016
10079897-K,M,Clayton Frye,26/05/1971,7188 Hill St.La Vergne TN 37086,ClaytonFrye@gmail.com,Planvital,False,1601384,0,23/11/1991,24/01/2019
12779041-K,F,Debra Alford,02/03/1975,49 Saxton DriveArvada CO 80003,DebraAlford@gmail.com,Capital,False,7783865,0,24/07/1994,04/04/2020
18183982-3,M,Jesse Rowe,07/09/1998,468 Walt Whitman St.Stamford CT 06902,JesseRowe@gmail.com,Cuprum,True,1365269,2863394,20/08/2016,07/01/2020
14382745-3,F,Alexander Davenport,01/08/1993,9953 Ridgewood Dr.South Portland ME 04106,AlexanderDavenport@gmail.com,Capital,False,16984644,0,20/08/2011,07/05/2020
18640619-K,F,Lysandra Molina,18/06/1996,751 E. Wild Rose StreetMaineville OH 45039,LysandraMolina@gmail.com,Cuprum,False,648527,0,01/12/2014,15/04/2016
15101510-K,F,Sharon Baldwin,08/04/1988,65 Sheffield St.East Brunswick NJ 08816,SharonBaldwin@gmail.com,Planvital,False,369285,0,12/04/2008,26/09/2017
13544377-K,M,Debra Whitehead,04/04/1988,920 Jefferson AvenueMansfield MA 02048,DebraWhitehead@gmail.com,Capital,True,4979746,14001187,12/09/2006,15/01/2019
6150930-1,M,Camilla Kent,16/05/1965,8698 Poor House DriveClover SC 29710,CamillaKent@gmail.com,Provida,False,9901211,0,21/12/1984,11/02/2019
13748265-K,M,Jocelyn Hebert,10/10/1996,63 Rockville RoadDecatur GA 30030,JocelynHebert@gmail.com,Capital,False,7906403,0,19/05/2014,07/03/2018
13879240-2,F,Clark Wagner,02/04/1990,9658 Schoolhouse St.Wyoming MI 49509,ClarkWagner@gmail.com,Cuprum,True,5790661,18044317,24/08/2010,13/02/2020
11501043-K,F,Eliana Bernard,18/04/1974,7759 NE. High Point AvenueEl Dorado AR 71730,ElianaBernard@gmail.com,Planvital,True,6749671,13356029,24/10/1994,02/07/2020
14593076-K,M,Alfonso Finley,03/06/1996,53 Rockaway DriveFlorence SC 29501,AlfonsoFinley@gmail.com,Modelo,False,3335864,0,25/03/2015,18/09/2019
13347257-K,F,Mechelle Sweeney,05/03/1983,46 Foxrun AvenueWest Orange NJ 07052,MechelleSweeney@gmail.com,Modelo,False,10600903,0,23/12/2002,06/07/2018
11933632-K,M,Benjamin Finley,12/10/1974,28 Sleepy Hollow StreetNorristown PA 19401,BenjaminFinley@gmail.com,Cuprum,False,10332073,0,07/01/1992,04/12/2018
19402323-7,M,Conan Brewer,08/01/1985,8743 West Shipley Ave.Kaukauna WI 54130,ConanBrewer@gmail.com,Habitat,True,18340170,2812661,21/05/2003,01/11/2019
12761264-K,M,Ina Foreman,09/09/1971,7201 Sussex St.Holyoke MA 01040,InaForeman@gmail.com,Cuprum,True,12616696,14557109,16/05/1990,23/02/2017
15288632-K,M,Josiah Sharpe,30/08/1983,893 W. Canal DriveHartsville SC 29550,JosiahSharpe@gmail.com,Cuprum,True,16606345,9819285,22/12/2002,28/10/2016
14631130-K,F,Alfonso Griffin,02/11/1994,409 Railroad St.Asheboro NC 27205,AlfonsoGriffin@gmail.com,Habitat,False,1465713,0,07/02/2014,12/10/2016
13040199-K,F,Oprah Mcguire,30/05/1990,8394 Madison AvenueBrooklyn NY 11201,OprahMcguire@gmail.com,Capital,True,12597537,7809943,25/06/2008,21/12/2018
7961523-K,M,Ulric Tillman,11/01/1970,7944 Mountainview Ave.Ogden UT 84404,UlricTillman@gmail.com,Modelo,True,28493815,32005625,13/03/1988,17/10/2018
13988455-2,F,Jocelyn Riddle,27/04/1987,623 Hudson LaneGreat Falls MT 59404,JocelynRiddle@gmail.com,Cuprum,False,4656632,0,05/12/2006,08/07/2016
6142373-K,M,Graham Griffin,06/03/1960,7 East Ocean RoadPalmetto FL 34221,GrahamGriffin@gmail.com,Cuprum,True,34810384,31749086,15/01/1979,14/09/2017
19671506-K,M,Camilla Hull,14/09/1996,7803 Greenrose LaneSavage MN 55378,CamillaHull@gmail.com,Capital,False,17494237,0,23/01/2015,17/05/2017
8061651-4,M,Nadine Thomas,09/06/1978,535 Talbot St.Sebastian FL 32958,NadineThomas@gmail.com,Planvital,True,11043186,4577884,27/04/1996,13/03/2018
10003055-6,F,Benjamin Richard,11/06/1977,9 Tanglewood St.Waterloo IA 50701,BenjaminRichard@gmail.com,Modelo,True,18182764,9600724,09/09/1997,07/08/2016
15338731-K,F,Uriel Mcguire,16/02/1998,41 Wild Horse St.Chambersburg PA 17201,UrielMcguire@gmail.com,Planvital,False,4485714,0,21/07/2016,27/08/2016
7913776-6,F,Kirk Kent,07/09/1967,57 Shadow Brook DriveLorain OH 44052,KirkKent@gmail.com,Habitat,False,34461510,0,05/10/1986,09/06/2018
19616684-K,F,Graham Cain,02/06/1992,429 Cobblestone St.Statesville NC 28625,GrahamCain@gmail.com,Planvital,False,4514136,0,01/08/2012,17/08/2016
17172617-K,M,Benjamin Tillman,20/11/1995,293 Pleasant Ave.Hopewell VA 23860,BenjaminTillman@gmail.com,Cuprum,False,19092859,0,03/09/2015,18/10/2019
14056371-9,M,Elmo Stewart,01/02/1985,149 Snake Hill Rd.Atlantic City NJ 08401,ElmoStewart@gmail.com,Habitat,False,3531594,0,12/01/2003,21/12/2019
17555390-7,F,Castor Mcdowell,07/07/1998,9542 Oxford StreetHomestead FL 33030,CastorMcdowell@gmail.com,Planvital,False,16920053,0,16/11/2018,01/12/2018
17016247-2,M,Aline Day,27/01/1985,799 Center StreetChaska MN 55318,AlineDay@gmail.com,Modelo,False,7944100,0,01/04/2004,14/07/2017
16108415-4,F,Shaine Brewer,09/07/1987,7848 Holly St.Herndon VA 20170,ShaineBrewer@gmail.com,Planvital,False,14528344,0,18/05/2005,24/07/2017
7480671-9,F,Baker Abbott,06/03/1964,42 Laurel DriveOrland Park IL 60462,BakerAbbott@gmail.com,Modelo,False,35113031,0,28/07/1984,23/05/2019
9905665-K,M,Nadine Riddle,26/04/1975,622 South Gates StreetDerby KS 67037,NadineRiddle@gmail.com,Provida,True,17342328,9359147,07/09/1995,13/11/2018
14822147-4,F,Josephine Patrick,04/06/1989,23 Bank St.Winter Haven FL 33880,JosephinePatrick@gmail.com,Habitat,True,2656791,15933556,06/11/2007,26/08/2017
16202886-0,M,Aurelia Thomas,24/06/1989,25 Fremont StreetSan Jose CA 95127,AureliaThomas@gmail.com,Modelo,True,7940258,14497915,10/10/2007,31/08/2018
10567848-K,F,Elizabeth Finley,01/12/1972,794 Jackson Ave.Loveland OH 45140,ElizabethFinley@gmail.com,Provida,True,15299301,8503845,19/10/1992,10/01/2017
14039141-K,F,Devin Schroeder,28/09/1984,69 Creekside StreetLeesburg VA 20175,DevinSchroeder@gmail.com,Provida,True,11734949,11059660,02/06/2002,09/03/2018
14152284-K,M,Aurelia Rowe,03/09/1996,7592 Lake View St.Raleigh NC 27603,AureliaRowe@gmail.com,Modelo,False,7077546,0,22/10/2014,11/06/2018
14495235-K,M,Conan Kirkland,25/04/1986,7621 Cross St.Ypsilanti MI 48197,ConanKirkland@gmail.com,Cuprum,True,990807,10639189,25/03/2005,26/12/2016
15005703-K,F,Shaine Booth,12/05/1998,157 Fairground StreetSyosset NY 11791,ShaineBooth@gmail.com,Planvital,False,9010703,0,11/09/2018,03/11/2018
19087198-5,F,Sharon Frost,04/11/1984,28 King StreetGainesville VA 20155,SharonFrost@gmail.com,Provida,False,16845662,0,21/06/2002,27/11/2016
10754561-2,F,Bertha Riddle,05/12/1976,553 Shady Rd.Plattsburgh NY 12901,BerthaRiddle@gmail.com,Modelo,True,18514019,1529432,10/07/1995,01/12/2019
6447731-K,M,Alfonso Gonzalez,26/01/1966,958 La Sierra Ave.Mokena IL 60448,AlfonsoGonzalez@gmail.com,Habitat,False,21401624,0,04/04/1986,17/02/2016
16859041-K,F,Sebastian Tillman,03/01/1991,856A Arch AvenueDeerfield Beach FL 33442,SebastianTillman@gmail.com,Planvital,True,9875019,6615738,27/04/2009,19/10/2019
6321989-8,M,Hoyt Farrell,11/01/1967,40 West Tallwood LaneGarfield NJ 07026,HoytFarrell@gmail.com,Capital,False,8613569,0,06/06/1985,13/02/2019
6647903-K,F,Aline Sweeney,31/07/1970,95 W. Highland St.Stillwater MN 55082,AlineSweeney@gmail.com,Habitat,True,22728121,13515020,05/02/1988,29/04/2019
6341602-K,F,Connor Owen,27/06/1963,77 Park St.Fairborn OH 45324,ConnorOwen@gmail.com,Capital,False,15225464,0,24/01/1983,07/05/2017
16068390-K,M,Caleb Stewart,08/10/1998,9445 Vermont Rd.Kenosha WI 53140,CalebStewart@gmail.com,Modelo,False,9628541,0,07/08/2017,06/04/2020
16195981-K,M,Louis James,27/03/1987,5 Lakeview Ave.Georgetown SC 29440,LouisJames@gmail.com,Habitat,False,10753051,0,09/11/2005,17/09/2018
16306625-K,M,Wyatt Whitehead,02/01/1987,7952 South Studebaker St.Coraopolis PA 15108,WyattWhitehead@gmail.com,Capital,True,3858940,17238888,01/10/2005,26/03/2016
9079599-9,F,Arthur Molina,01/04/1976,866 Locust Ave.Port Chester NY 10573,ArthurMolina@gmail.com,Modelo,False,6065190,0,04/06/1996,29/06/2016
10409505-K,M,Holly Daniel,10/05/1971,499 San Carlos Rd.Horn Lake MS 38637,HollyDaniel@gmail.com,Provida,True,16539967,4023330,24/06/1991,06/12/2019
7428963-7,F,Paki Kim,23/07/1966,6 San Pablo AvenueFullerton CA 92831,PakiKim@gmail.com,Cuprum,True,8889094,30552797,18/12/1986,13/01/2016
12969044-K,F,Bertha Hinton,22/08/1972,9063 W. Honey Creek Dr.Queensbury NY 12804,BerthaHinton@gmail.com,Habitat,True,15867859,17741712,09/12/1990,06/05/2017
13124305-K,M,Mechelle Sears,04/03/1985,7639 Logan AvenueState College PA 16801,MechelleSears@gmail.com,Capital,False,2057763,0,28/02/2005,08/07/2017
7268196-3,M,Kimberly Cain,06/02/1964,813 Cross St.Solon OH 44139,KimberlyCain@gmail.com,Cuprum,False,19026424,0,07/12/1984,17/08/2016
6279987-K,F,Sage Donaldson,11/11/1966,94 Alderwood StreetLindenhurst NY 11757,SageDonaldson@gmail.com,Modelo,False,34468034,0,04/07/1984,24/01/2020
7160764-K,M,Mason Schroeder,11/10/1961,7 Sugar DriveThe Villages FL 32162,MasonSchroeder@gmail.com,Modelo,False,18815088,0,04/09/1980,01/08/2019
17375720-9,M,Patience Obrien,17/04/1993,7100 Alton St.Scarsdale NY 10583,PatienceObrien@gmail.com,Habitat,True,19424169,17078509,08/02/2011,01/10/2016
6395042-0,M,Denise Palmer,24/09/1966,61 East South Ave.Conyers GA 30012,DenisePalmer@gmail.com,Habitat,False,22930483,0,02/07/1986,26/02/2016
16128190-K,F,Connor Stewart,25/12/1984,7031 Cherry Hill StreetMuncie IN 47302,ConnorStewart@gmail.com,Capital,True,5413640,2113977,08/11/2002,01/10/2017
6687085-8,F,Kaseem Baldwin,24/06/1966,9857 Border Dr.Fort Washington MD 20744,KaseemBaldwin@gmail.com,Capital,True,25284826,10219122,20/07/1985,18/09/2017
9468441-K,M,Dennis James,06/12/1972,765 Hill RoadSuite 4Jonesboro GA 30236,DennisJames@gmail.com,Habitat,True,15525050,3725396,02/12/1990,11/05/2019
10407669-K,M,Debra Rivers,21/02/1975,956 Arnold Ave.Kingston NY 12401,DebraRivers@gmail.com,Habitat,True,6770800,464527,23/03/1994,30/04/2016
11801429-K,M,Jesse Day,31/08/1973,8793 Harvard St.Blacksburg VA 24060,JesseDay@gmail.com,Provida,True,5005272,16186667,06/11/1993,17/02/2019
6775360-8,F,Germaine Nielsen,04/02/1967,302 Pulaski CourtDekalb IL 60115,GermaineNielsen@gmail.com,Planvital,False,25028267,0,28/04/1987,11/04/2020
6908114-4,F,Abbot Gregory,20/07/1966,7 West Hillside StreetNorthbrook IL 60062,AbbotGregory@gmail.com,Modelo,True,33518672,9247928,23/03/1985,07/03/2017
6650606-K,M,Jarrod Knapp,12/11/1961,5 Old Illinois Rd.Cedar Falls IA 50613,JarrodKnapp@gmail.com,Modelo,False,12650533,0,18/01/1980,08/09/2019
8351580-K,F,Howard Justice,16/03/1976,942 Bayberry StreetEssex MD 21221,HowardJustice@gmail.com,Provida,False,16656424,0,23/04/1994,16/01/2019
19793928-6,F,Austin Gregory,02/03/1986,252 Airport RoadBurke VA 22015,AustinGregory@gmail.com,Modelo,False,10885657,0,23/03/2006,09/01/2017
14641527-1,M,Graham Finch,02/06/1989,42 Jones St.Thomasville NC 27360,GrahamFinch@gmail.com,Provida,True,19867948,1673830,08/07/2009,12/08/2020
19295538-K,M,Sebastian Saunders,19/02/1990,791 Alderwood St.Onalaska WI 54650,SebastianSaunders@gmail.com,Cuprum,True,9704263,14310367,01/06/2009,24/02/2017
17192711-5,M,Louis Mckay,18/09/1994,48 Sheffield RoadOlive Branch MS 38654,LouisMckay@gmail.com,Cuprum,True,8421607,10876849,11/02/2012,17/09/2017
12230560-K,F,Jocelyn Estrada,25/03/1979,7199 Clay St.Glendale AZ 85302,JocelynEstrada@gmail.com,Planvital,False,4296976,0,13/02/1999,24/11/2017
11040813-3,F,Alfonso Buchanan,07/07/1980,252 Airport RoadBurke VA 22015,AlfonsoBuchanan@gmail.com,Modelo,False,7563014,0,04/07/1999,09/12/2018
7381493-3,M,Alfonso Baldwin,05/12/1970,10 West High Point Ave.Baton Rouge LA 70806,AlfonsoBaldwin@gmail.com,Planvital,True,36522641,28468901,05/09/1988,29/05/2020
8041055-5,M,Thaddeus Garza,13/04/1972,7667 South Ohio St.Irvington NJ 07111,ThaddeusGarza@gmail.com,Modelo,True,9470835,8577985,18/10/1991,21/06/2017
6908583-K,M,Wyatt Abbott,18/03/1970,77 Garfield CourtEugene OR 97402,WyattAbbott@gmail.com,Capital,True,12780578,27147669,16/09/1990,13/12/2019
15266549-K,M,Preston Gregory,07/01/1995,69 Green LaneGrayslake IL 60030,PrestonGregory@gmail.com,Modelo,True,5646722,17827839,16/04/2013,27/06/2019
17315699-9,M,Dante Gardner,18/05/1994,5 Marshall Ave.Summerfield FL 34491,DanteGardner@gmail.com,Cuprum,True,17516924,6061711,10/03/2014,14/06/2016
17970960-K,F,Connor Vega,24/11/1997,992 Greystone StreetRosemount MN 55068,ConnorVega@gmail.com,Modelo,True,13955188,19431263,27/12/2017,07/01/2017
6663884-K,M,Mason Frye,01/04/1966,7822 Plymouth Ave.District Heights MD 20747,MasonFrye@gmail.com,Cuprum,True,17944958,8774506,21/06/1985,09/01/2017
18114341-7,M,Louis Cain,15/08/1989,79 NW. Ramblewood Dr.Elmont NY 11003,LouisCain@gmail.com,Modelo,True,9277585,14527898,18/09/2009,24/01/2017
13501832-K,F,Zephania Gardner,20/04/1983,300 Buckingham StreetHartford CT 06106,ZephaniaGardner@gmail.com,Provida,True,10312351,1037830,07/03/2002,23/11/2018
12031127-3,F,Zephania Hansen,31/10/1975,770 Sycamore AvenueZionsville IN 46077,ZephaniaHansen@gmail.com,Planvital,True,18972404,19199690,13/01/1994,05/08/2016
14807482-K,F,Sharon Pollard,17/07/1983,795 Tunnel Rd.Chelsea MA 02150,SharonPollard@gmail.com,Capital,True,18698723,7804131,28/09/2003,20/09/2019
18941549-7,F,Alexander Mcdowell,24/07/1993,5 Acacia Ave.Piqua OH 45356,AlexanderMcdowell@gmail.com,Capital,False,978732,0,02/11/2011,04/05/2016
10634351-7,F,Alexander Finch,07/07/1980,409 Railroad St.Asheboro NC 27205,AlexanderFinch@gmail.com,Cuprum,False,11362262,0,19/01/2000,25/06/2017
7490674-K,M,Lars Buchanan,25/04/1960,488 George RoadBenton Harbor MI 49022,LarsBuchanan@gmail.com,Capital,False,26710304,0,24/02/1979,08/04/2016
7945661-K,F,Wyatt Cleveland,11/03/1963,7656 Peg Shop St.Catonsville MD 21228,WyattCleveland@gmail.com,Capital,False,7646768,0,21/07/1983,23/04/2016
11627669-4,F,Imani Kent,17/07/1977,893 W. Canal DriveHartsville SC 29550,ImaniKent@gmail.com,Planvital,False,14867165,0,14/08/1997,10/02/2019
12991377-3,M,Louis Hoover,18/02/1973,7254 Bridge Dr.Winona MN 55987,LouisHoover@gmail.com,Cuprum,False,6997027,0,21/09/1991,09/09/2019
18637182-K,M,Holly Pollard,16/03/1991,42 Jones St.Thomasville NC 27360,HollyPollard@gmail.com,Capital,False,11080644,0,12/02/2011,13/11/2019
12323982-K,M,Elmo Owen,17/01/1974,183 Howard St.Lewis Center OH 43035,ElmoOwen@gmail.com,Provida,False,6225982,0,23/08/1994,18/09/2018
10646405-4,F,Rhea Kent,30/08/1979,801 Summit Ave.Oviedo FL 32765,RheaKent@gmail.com,Cuprum,False,16814757,0,28/05/1999,04/11/2017
11214377-K,F,Camilla Lindsay,17/03/1973,949 Richardson CourtSevierville TN 37876,CamillaLindsay@gmail.com,Planvital,True,19710987,17891701,17/03/1991,22/05/2016
10466374-K,F,Kirk Finch,01/08/1978,35 Liberty StreetPassaic NJ 07055,KirkFinch@gmail.com,Cuprum,True,5165580,10016736,31/12/1997,05/03/2018
9760437-3,F,Eliana Howard,12/07/1978,402 Cambridge Dr.Sioux Falls SD 57103,ElianaHoward@gmail.com,Provida,True,12060715,18126127,13/12/1996,04/01/2016
6286338-K,F,Bertha Gregory,15/07/1962,458 East St.Utica NY 13501,BerthaGregory@gmail.com,Cuprum,False,35279237,0,23/09/1980,01/05/2019
15563825-K,M,Graham Scott,18/08/1991,69 Green LaneGrayslake IL 60030,GrahamScott@gmail.com,Modelo,False,8539991,0,13/08/2010,27/02/2018
6799015-5,F,Bruce Craft,29/11/1963,6 Myrtle AvenueBerwyn IL 60402,BruceCraft@gmail.com,Planvital,False,17126120,0,20/05/1982,09/07/2017
18297925-2,M,Mason Booker,09/05/1981,70 E. Winding Way StreetSun Prairie WI 53590,MasonBooker@gmail.com,Capital,False,18731065,0,20/03/2000,10/04/2017
7483946-7,F,Alfonso Daniel,09/11/1970,758 East Rockland RoadAstoria NY 11102,AlfonsoDaniel@gmail.com,Cuprum,False,11193646,0,14/11/1988,31/01/2020
15853519-5,F,Brenden Gonzalez,11/09/1986,8352 Crescent Rd.Lombard IL 60148,BrendenGonzalez@gmail.com,Provida,True,1702053,10303192,07/06/2006,06/03/2020
6131515-2,M,Denise Whitehead,23/03/1968,256 Pine St.Dacula GA 30019,DeniseWhitehead@gmail.com,Cuprum,True,39237896,12254017,17/03/1986,30/07/2017
18726122-3,M,Armando Brewer,07/07/1996,163 College Ave.Westminster MD 21157,ArmandoBrewer@gmail.com,Provida,True,19243966,5765455,29/08/2016,10/06/2018
13903081-0,F,Stephanie Tillman,11/06/1996,741 Vernon StreetFond Du Lac WI 54935,StephanieTillman@gmail.com,Provida,False,13401982,0,01/09/2016,30/10/2019
6073520-K,M,Paki Patrick,16/02/1969,91 Orange AvenueNew Brunswick NJ 08901,PakiPatrick@gmail.com,Planvital,True,37208602,13942830,06/12/1989,20/08/2019
18369735-4,F,Kirk Dillon,18/03/1984,9603 W. Virginia Ave.Salem MA 01970,KirkDillon@gmail.com,Provida,False,15903352,0,01/07/2004,29/05/2020
18165292-K,F,Dennis Rivera,10/12/1981,7492 E. Grove St.Schererville IN 46375,DennisRivera@gmail.com,Capital,True,19915298,19701594,28/06/1999,01/08/2018
16035814-9,F,Uriel Craft,12/06/1998,83 Gates AvenueSun City AZ 85351,UrielCraft@gmail.com,Modelo,False,3492609,0,14/03/2017,02/01/2019
7716868-K,F,Kerry Knapp,09/06/1969,7998 N. Hill AvenueRoselle IL 60172,KerryKnapp@gmail.com,Capital,True,31960205,11850422,02/07/1987,24/10/2019
14653661-3,M,Clayton Molina,23/08/1994,464 Princess Ave.Simpsonville SC 29680,ClaytonMolina@gmail.com,Cuprum,False,16000111,0,11/11/2013,28/05/2018
19255758-K,F,Tanek Kent,01/02/1992,157 Fairground StreetSyosset NY 11791,TanekKent@gmail.com,Provida,False,19449262,0,11/04/2010,19/02/2018
18402362-8,F,Clayton Nielsen,24/03/1994,429 Cobblestone St.Statesville NC 28625,ClaytonNielsen@gmail.com,Habitat,True,25594,11581990,21/07/2012,08/01/2019
17150200-0,F,Sharon Estrada,04/08/1989,8056 SE. Honey Creek Dr.East Orange NJ 07017,SharonEstrada@gmail.com,Modelo,True,10840414,14056767,21/04/2007,13/04/2019
6588332-K,M,Camilla Rowe,25/07/1962,600 Rockland DriveElkton MD 21921,CamillaRowe@gmail.com,Cuprum,False,38657633,0,17/07/1980,03/01/2016
17096280-4,M,Jordan Knapp,09/01/1992,939 West Cottage AvenueSouthampton PA 18966,JordanKnapp@gmail.com,Cuprum,False,4808838,0,26/02/2010,11/05/2020
16508548-9,M,Jordan Richard,15/10/1991,3 Brown St.Cape Coral FL 33904,JordanRichard@gmail.com,Cuprum,True,7656350,3593790,10/08/2011,25/11/2017
18643789-K,F,Cooper Monroe,23/06/1995,770 Sycamore AvenueZionsville IN 46077,CooperMonroe@gmail.com,Habitat,False,12579915,0,15/11/2015,04/02/2020
19309470-7,M,Josephine Kent,31/12/1988,622 Bridle DriveMarysville OH 43040,JosephineKent@gmail.com,Capital,False,3932640,0,29/04/2008,16/06/2019
17513277-5,M,Lysandra Frye,11/06/1997,89 Wrangler LaneCamp Hill PA 17011,LysandraFrye@gmail.com,Modelo,True,13057436,10599944,15/07/2017,14/09/2018
